cmauid,name,all_vm,south_asian,chinese,black,filipino,arab,latin_american,southeast_asian,west_asian,korean,japanese,white,indigenous
502,Hawkesbury,4.7,1.5,0.4,1.4,0.3,0.6,0.3,0.0,0.0,0.0,0.0,91.7,3.6
24502,Hawkesbury (Quebec part),2.5,0.0,1.6,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,96.2,1.1
35502,Hawkesbury (Ontario part),5.1,1.7,0.2,1.7,0.3,0.7,0.3,0.0,0.0,0.0,0.0,90.8,4.1
505,Ottawa - Gatineau,26.4,4.2,3.4,7.8,1.1,4.7,1.4,1.2,1.0,0.3,0.2,70.4,3.2
24505,Ottawa - Gatineau (Quebec part),16.2,0.6,1.0,7.9,0.4,3.0,1.7,0.5,0.3,0.1,0.1,79.5,4.2
35505,Ottawa - Gatineau (Ontario part),29.6,5.3,4.2,7.8,1.3,5.3,1.3,1.4,1.2,0.4,0.2,67.6,2.8
512,Brockville,5.1,1.6,0.6,0.6,0.5,0.6,0.3,0.1,0.1,0.1,0.1,91.1,3.8
515,Pembroke,3.1,0.8,0.5,0.5,0.5,0.1,0.3,0.2,0.0,0.1,0.0,85.3,11.7
516,Petawawa,6.2,1.7,0.3,1.6,0.4,0.3,0.5,0.4,0.1,0.2,0.2,86.6,7.2
521,Kingston,10.9,2.8,1.9,1.7,0.7,1.0,0.8,0.5,0.4,0.4,0.2,84.9,4.1
522,Belleville - Quinte West,6.8,2.3,0.6,1.3,0.6,0.2,0.6,0.2,0.1,0.3,0.1,87.7,5.5
527,Cobourg,5.0,0.8,0.4,1.1,0.7,0.3,0.4,0.3,0.2,0.3,0.2,92.3,2.7
528,Port Hope,4.5,0.8,0.6,1.2,0.2,0.0,0.5,0.1,0.3,0.1,0.2,92.9,2.6
529,Peterborough,7.3,2.4,0.8,1.2,0.5,0.4,0.4,0.5,0.2,0.3,0.1,87.7,5.1
530,Kawartha Lakes,3.4,0.9,0.5,0.8,0.3,0.0,0.2,0.1,0.0,0.2,0.0,93.7,2.9
531,Centre Wellington,5.2,2.0,0.4,1.0,0.7,0.0,0.3,0.1,0.0,0.1,0.1,93.1,1.8
532,Oshawa,28.0,9.1,2.2,8.0,2.2,0.8,1.1,0.4,1.2,0.3,0.2,69.5,2.4
533,Ingersoll,5.5,1.6,0.1,1.7,0.2,0.2,0.5,0.1,0.3,0.1,0.2,91.7,2.8
535,Toronto,57.0,19.2,11.1,7.9,4.6,2.1,2.5,1.7,2.6,1.2,0.3,42.3,0.7
537,Hamilton,23.5,6.2,2.0,4.3,1.9,2.5,1.9,1.3,1.2,0.5,0.2,74.5,2.0
539,St. Catharines - Niagara,13.9,3.0,1.5,3.0,1.5,0.8,1.6,0.7,0.2,0.4,0.2,83.1,3.1
541,Kitchener - Cambridge - Waterloo,28.0,9.7,3.0,4.7,1.1,1.9,2.2,1.9,1.1,0.6,0.2,70.3,1.7
543,Brantford,12.9,5.0,0.5,3.0,1.0,0.5,0.8,0.9,0.2,0.2,0.1,82.6,4.5
544,Woodstock,13.7,6.9,0.6,2.0,0.8,0.3,0.9,0.7,0.3,0.3,0.2,83.8,2.5
546,Tillsonburg,5.7,0.9,0.2,1.7,0.4,0.0,0.5,1.4,0.0,0.0,0.0,91.6,2.7
547,Norfolk,3.4,0.5,0.3,1.0,0.4,0.1,0.4,0.2,0.1,0.2,0.0,93.4,3.2
550,Guelph,23.4,7.0,2.7,3.8,2.4,1.1,1.3,2.0,1.3,0.3,0.2,75.0,1.6
553,Stratford,8.0,2.1,0.7,1.8,0.6,0.2,1.0,0.7,0.2,0.2,0.1,90.2,1.7
555,London,23.4,5.3,2.3,3.5,1.2,4.2,2.5,1.2,1.0,0.8,0.1,74.1,2.6
556,Chatham-Kent,6.6,1.3,0.3,2.5,0.4,0.3,0.5,0.5,0.1,0.1,0.1,89.0,4.5
559,Windsor,23.6,5.0,2.1,3.9,1.1,6.2,1.6,1.3,1.1,0.2,0.1,73.5,2.9
562,Sarnia,6.7,2.0,0.6,1.3,0.6,0.4,0.8,0.2,0.2,0.1,0.0,88.9,4.5
563,Essa,9.8,1.8,0.5,3.1,0.7,0.2,1.5,0.5,0.2,0.3,0.1,86.6,3.5
565,Wasaga Beach,5.2,1.1,0.4,1.2,0.7,0.0,0.7,0.1,0.1,0.1,0.0,91.6,3.2
566,Owen Sound,4.7,1.2,0.5,1.0,0.2,0.6,0.2,0.1,0.0,0.2,0.2,91.5,3.8
567,Collingwood,6.9,1.9,0.9,0.9,0.9,0.1,0.4,0.3,0.5,0.2,0.2,90.8,2.4
568,Barrie,15.4,3.7,1.4,3.5,1.1,0.5,2.0,0.7,0.7,0.5,0.1,81.3,3.3
569,Orillia,7.4,1.8,1.1,1.3,1.1,0.2,0.3,0.5,0.2,0.3,0.1,86.5,6.1
571,Midland,4.5,1.2,0.5,1.0,0.4,0.2,0.2,0.4,0.0,0.1,0.1,78.5,17.1
575,North Bay,3.7,1.1,0.5,0.9,0.2,0.1,0.3,0.2,0.1,0.0,0.1,86.0,10.3
580,Greater Sudbury / Grand Sudbury,6.5,1.9,0.6,2.4,0.3,0.2,0.4,0.2,0.1,0.1,0.1,82.2,11.3
582,Elliot Lake,2.6,0.4,0.4,0.8,0.4,0.0,0.0,0.0,0.1,0.0,0.0,88.9,8.5
586,Timmins,4.4,1.9,0.5,0.6,0.5,0.2,0.1,0.2,0.1,0.1,0.1,80.8,14.9
590,Sault Ste. Marie,4.3,1.5,0.6,0.8,0.2,0.2,0.3,0.1,0.1,0.1,0.1,82.6,13.1
595,Thunder Bay,6.7,2.3,0.9,1.0,0.3,0.4,0.3,0.6,0.2,0.1,0.3,79.3,14.0
598,Kenora,3.2,1.2,0.3,0.4,0.6,0.0,0.1,0.2,0.0,0.0,0.1,72.2,24.6
602,Winnipeg,31.5,7.8,2.8,5.0,10.3,0.9,1.1,1.3,0.4,0.5,0.2,56.1,12.5
603,Winkler,7.1,1.5,0.2,0.9,2.5,0.4,1.1,0.1,0.2,0.2,0.0,89.4,3.5
605,Steinbach,15.7,2.9,0.3,1.2,8.6,0.1,1.3,0.7,0.0,0.2,0.1,74.3,10.0
607,Portage la Prairie,10.4,4.5,0.2,1.5,3.0,0.0,0.5,0.3,0.0,0.0,0.1,60.5,29.1
610,Brandon,20.3,4.9,2.8,5.4,1.6,0.2,4.0,0.4,0.1,0.2,0.1,66.0,13.7
640,Thompson,15.1,9.3,0.6,2.4,1.1,0.3,0.5,0.4,0.0,0.1,0.0,39.3,45.5
705,Regina,23.7,8.0,2.4,4.1,4.9,0.8,0.6,1.5,0.4,0.2,0.1,66.3,10.0
710,Yorkton,12.7,3.3,0.6,1.9,5.8,0.1,0.3,0.1,0.2,0.1,0.1,75.2,12.1
715,Moose Jaw,10.3,1.9,1.8,1.9,3.0,0.2,0.4,0.5,0.0,0.1,0.1,82.7,7.0
720,Swift Current,12.9,2.2,1.0,0.7,7.2,0.2,0.7,0.4,0.0,0.2,0.0,82.1,5.0
725,Saskatoon,21.4,6.2,3.1,2.8,4.8,1.0,0.9,1.1,0.6,0.2,0.1,67.4,11.2
735,North Battleford,12.6,2.6,0.7,1.5,5.7,0.0,0.8,0.5,0.0,0.4,0.0,62.2,25.2
745,Prince Albert,9.9,2.4,0.4,1.9,3.4,0.4,0.4,0.7,0.0,0.0,0.0,48.3,41.9
750,Estevan,12.7,1.4,0.6,1.1,8.1,0.2,0.1,0.0,0.0,0.6,0.1,81.7,5.6
755,Weyburn,12.2,3.6,0.6,1.5,4.7,0.3,0.3,0.6,0.0,0.2,0.2,83.9,3.9
805,Medicine Hat,8.1,1.8,0.9,1.4,1.6,0.4,0.7,0.7,0.0,0.1,0.2,86.8,5.0
806,Brooks,48.6,1.4,2.2,22.3,13.4,0.5,4.4,2.8,0.1,0.3,0.4,49.1,2.4
810,Lethbridge,13.9,2.6,1.3,2.7,2.0,0.4,2.0,0.7,0.3,0.2,1.4,80.1,6.0
820,Okotoks,7.6,1.1,0.6,0.9,2.8,0.1,0.8,0.5,0.1,0.2,0.0,87.0,5.3
821,High River,17.5,1.2,0.1,1.6,10.5,0.8,2.0,0.7,0.0,0.2,0.1,79.1,3.3
825,Calgary,38.8,10.5,6.4,5.2,6.1,2.2,2.3,1.9,1.1,0.9,0.4,57.9,3.3
826,Strathmore,8.0,1.2,0.6,1.2,3.0,0.2,0.5,0.2,0.0,0.2,0.3,85.4,6.6
828,Canmore,13.2,2.6,1.6,0.4,3.6,0.4,1.2,0.5,0.1,0.5,2.1,84.2,2.6
830,Red Deer,18.9,2.3,1.1,2.0,8.3,0.7,1.8,0.9,0.4,0.3,0.3,74.5,6.6
831,Sylvan Lake,5.4,0.5,0.5,0.7,2.0,0.1,0.6,0.2,0.0,0.4,0.1,86.7,7.9
832,Lacombe,10.9,1.5,0.3,1.9,4.8,0.2,0.7,0.3,0.2,0.0,0.3,83.4,5.8
833,Camrose,10.8,1.9,0.8,1.6,5.0,0.2,0.5,0.2,0.0,0.1,0.0,81.6,7.7
835,Edmonton,33.0,8.8,4.5,5.8,5.8,2.3,1.6,1.5,0.6,0.6,0.2,60.7,6.3
840,Lloydminster,15.0,2.8,0.3,1.1,9.0,0.2,0.4,0.4,0.2,0.2,0.1,72.1,12.9
47840,Lloydminster (Saskatchewan part),17.0,1.9,0.1,0.8,12.7,0.1,0.4,0.5,0.0,0.2,0.1,67.4,15.6
48840,Lloydminster (Alberta part),13.3,3.6,0.5,1.4,5.7,0.3,0.4,0.3,0.4,0.2,0.1,76.1,10.5
850,Grande Prairie,15.9,2.9,0.8,2.2,6.9,0.6,0.8,0.4,0.1,0.3,0.2,72.4,11.7
860,Wood Buffalo,26.8,6.5,1.0,6.6,8.1,1.8,0.9,0.6,0.3,0.1,0.0,60.1,13.1
865,Wetaskiwin,13.6,1.5,0.8,1.1,7.9,1.0,0.5,0.2,0.0,0.0,0.0,68.4,18.0
905,Cranbrook,5.6,1.4,1.0,0.9,1.0,0.1,0.3,0.4,0.0,0.1,0.2,84.8,9.6
907,Nelson,6.6,1.5,0.7,0.6,1.2,0.1,0.7,0.2,0.0,0.2,1.0,88.0,5.4
910,Trail,4.5,1.9,0.6,0.4,0.5,0.0,0.3,0.3,0.1,0.0,0.0,86.8,8.6
913,Penticton,7.8,2.6,1.0,0.8,1.2,0.1,0.5,0.4,0.2,0.3,0.5,84.4,7.8
915,Kelowna,11.2,3.4,1.5,1.1,1.4,0.3,0.8,0.6,0.4,0.4,0.8,82.7,6.1
918,Vernon,6.8,2.0,0.9,0.6,0.9,0.3,0.4,0.5,0.1,0.2,0.7,85.7,7.5
920,Salmon Arm,5.4,1.1,0.7,0.6,1.1,0.4,0.4,0.2,0.0,0.2,0.8,86.2,8.3
925,Kamloops,9.8,4.0,1.3,0.9,1.0,0.2,0.5,0.3,0.1,0.3,0.9,79.1,11.1
930,Chilliwack,10.7,2.9,1.4,1.0,1.4,0.2,1.0,1.0,0.3,0.6,0.3,79.9,9.4
932,Abbotsford - Mission,35.4,25.9,1.5,1.2,1.6,0.4,1.0,1.4,0.4,0.8,0.4,59.1,5.5
933,Vancouver,54.5,14.2,19.6,1.6,5.5,0.9,2.0,2.2,2.5,2.4,1.2,43.1,2.4
934,Squamish,15.0,6.4,1.3,0.6,1.8,0.5,1.5,0.5,0.2,0.6,1.2,79.6,5.4
935,Victoria,16.7,3.5,4.5,1.3,2.2,0.5,1.0,1.0,0.4,0.6,0.9,78.3,5.0
936,Ladysmith,4.0,0.5,1.0,0.4,0.4,0.0,0.2,0.4,0.0,0.2,0.5,80.7,15.2
937,Duncan,7.1,2.2,1.1,0.9,1.2,0.2,0.3,0.3,0.1,0.2,0.4,78.6,14.3
938,Nanaimo,12.3,2.8,2.7,1.1,1.4,0.4,0.7,1.1,0.3,0.6,0.6,78.9,8.7
939,Parksville,4.5,0.7,0.7,0.2,1.4,0.0,0.3,0.2,0.0,0.3,0.3,91.7,3.8
940,Port Alberni,4.8,1.9,0.6,0.5,0.4,0.0,0.3,0.3,0.1,0.2,0.2,78.4,16.8
943,Courtenay,6.1,1.0,1.0,0.6,1.0,0.1,0.4,0.6,0.1,0.4,0.5,86.5,7.4
944,Campbell River,5.4,1.4,0.6,0.6,1.1,0.0,0.3,0.7,0.0,0.3,0.3,82.1,12.5
945,Powell River,5.5,0.9,1.1,0.5,0.8,0.1,0.6,0.2,0.0,0.4,0.5,88.4,6.1
950,Williams Lake,5.4,1.9,0.4,0.3,0.8,0.0,0.4,0.4,0.0,0.2,0.3,72.0,22.5
952,Quesnel,4.2,1.4,0.4,0.3,1.1,0.2,0.3,0.2,0.0,0.1,0.2,81.6,14.1
955,Prince Rupert,14.0,5.0,1.0,0.3,2.1,0.3,0.2,3.9,0.0,0.0,0.3,45.5,40.5
965,Terrace,7.4,3.7,0.6,0.4,1.1,0.1,0.2,0.2,0.0,0.5,0.5,67.3,25.3
970,Prince George,10.4,4.4,1.1,1.3,1.7,0.1,0.3,0.3,0.1,0.3,0.3,74.7,14.9
975,Dawson Creek,9.8,2.6,0.5,0.9,3.9,0.0,0.2,1.0,0.1,0.3,0.0,76.0,14.2
977,Fort St. John,12.6,3.9,0.6,1.5,4.2,0.1,0.4,0.4,0.1,0.4,0.2,74.3,13.2
990,Whitehorse,15.0,3.1,1.8,1.7,5.8,0.0,0.7,0.5,0.1,0.3,0.5,68.7,16.3
995,Yellowknife,20.0,3.1,1.3,4.4,6.9,1.0,0.5,1.4,0.1,0.2,0.4,55.8,24.2
